Plant_Code,Plant_Name,Latitude,Longitude,Name_of_Water_Source,Primary_Purpose_NAICS_Code,Sector_Name,Grid_Voltage_kV
7950,Franklin(TN),35.270556,-86.139444,WoodsReservoir,22,ElectricUtility,0
3417,TimsFord,35.1967,-86.2783,ElkRiver,22,ElectricUtility,46
3398,Chickamauga,35.101791,-85.229467,TennesseeRiver,22,ElectricUtility,161
6151,RaccoonMountain,35.055795,-85.387934,TennesseeRiverNickajackRese,22,ElectricUtility,161
6152,Sequoyah,35.2267,-85.0917,ChickamaugaReservoir,22,ElectricUtility,500
3415,PickwickLandingDam,35.0683,-88.2494,TennesseeRiver,22,ElectricUtility,161
3405,JohnSevier,36.3767,-82.9639,HolstonRiver,22,ElectricUtility,161
7845,LagoonCreek,35.6578,-89.3964,MemphisSandsAquifer,22,ElectricUtility,500
55081,BrownsvillePeakingPower,35.5438,-89.198,NA,22,ElectricUtility,500
3406,Johnsonville,36.0278,-87.9861,TennesseeRiver,22,ElectricUtility,161
6150,Bellefonte,34.7092,-85.9278,GuntersvilleReservoir,22,ElectricUtility,161
50,WidowsCreek,34.883022,-85.755253,TennesseeRiver,22,ElectricUtility,161
3397,CherokeeDam,36.168176,-83.49768,HolstonRiver,22,ElectricUtility,161
7960,KemperCounty,32.7976,-88.606,Wells,22,ElectricUtility,161
6440,WilsonDam,34.79782,-87.62537,TennesseeRiver,22,ElectricUtility,161
7719,Meridian,32.55078,-88.60669,NA,22,ElectricUtility,500
49,WheelerDam,34.8069,-87.3819,TennesseeRiver,22,ElectricUtility,161
46,BrownsFerry,34.7042,-87.1189,TennesseeRiver,22,ElectricUtility,500
3408,MeltonHill,35.8853,-84.3003,ClinchRiver,22,ElectricUtility,69
3402,FortLoudoun,35.7917,-84.2431,TennesseeRiver,22,ElectricUtility,161
55197,Caledonia,33.6464,-88.2717,Municipality,22,ElectricUtility,500
3409,Nickajack,35.0017,-85.6218,TennesseeRiver,22,ElectricUtility,161
48,Guntersville,34.421272,-86.393931,TennesseeRiver,22,ElectricUtility,161
55232,MarshallEnergyFacility,37.0286,-88.3958,NA,22,ElectricUtility,161
1377,KentuckyDam,37.0131,-88.2692,TennesseeRiver,22,ElectricUtility,161
1379,Shawnee,37.1517,-88.775,OhioRiver,22,ElectricUtility,161
1378,Paradise,37.2608,-86.9783,GreenRiver,22,ElectricUtility,500
3412,Ocoee1,35.0947,-84.6478,OcoeeRiver,22,ElectricUtility,69
3413,Ocoee2,35.082271,-84.49115,OcoeeRiver,22,ElectricUtility,69
3414,Ocoee3,35.075,-84.4833,OcoeeRiver,22,ElectricUtility,161
3394,Apalachia,35.167712,-84.295601,HiwasseeRiver,22,ElectricUtility,161
3420,WattsBarHydro,35.619673,-84.785527,TennesseeRiver,22,ElectricUtility,161
3419,WattsBarFossil,35.6108,-84.7811,TennesseeRiver,22,ElectricUtility,161
